Heart,Calories,Steps,Distance,Age,Gender,Weight,Height,Activity
55,0.217242734,1.102670693,0.781893764,35,M,179,5.6,1.Sedentary
54,0.113779378,1.197839332,0.869257763,35,M,179,5.6,1.Sedentary
52,0.22093131,2.350699755,1.927573799,35,M,179,5.6,1.Sedentary
51,0.175991145,2.350699755,1.927573799,35,M,179,5.6,1.Sedentary
53,0.101539207,2.350699755,1.927573799,35,M,179,5.6,1.Sedentary
54,0.058153143,2.350699755,1.927573799,35,M,179,5.6,1.Sedentary
56,0.109844177,2.350699755,1.927573799,35,M,179,5.6,1.Sedentary
58,0.219993268,2.350699755,1.927573799,35,M,179,5.6,1.Sedentary
59,0.165673425,1.716548518,1.407569784,35,M,179,5.6,1.Sedentary
61,0.224050084,0,0,35,M,179,5.6,1.Sedentary
62,0.244492055,0,0,35,M,179,5.6,1.Sedentary
64,0.217448156,0,0,35,M,179,5.6,1.Sedentary
62,0.249954766,0,0,35,M,179,5.6,1.Sedentary
60,0.199535052,0,0,35,M,179,5.6,1.Sedentary
60,0.202432405,0,0,35,M,179,5.6,1.Sedentary
59,0.374016062,0,0,35,M,179,5.6,1.Sedentary
58,0.11581693,0.546224691,0.382357284,35,M,179,5.6,1.Sedentary
58,0.168834749,0.924439104,0.647107373,35,M,179,5.6,1.Sedentary
59,0.098616642,0.924439104,0.647107373,35,M,179,5.6,1.Sedentary
60,0.0572327,0.924439104,0.647107373,35,M,179,5.6,1.Sedentary
61,0.171867581,0.924439104,0.647107373,35,M,179,5.6,1.Sedentary
62,0.227325687,0.924439104,0.647107373,35,M,179,5.6,1.Sedentary
62,0.222654705,0.924439104,0.647107373,35,M,179,5.6,1.Sedentary
63,0.17260825,0.924439104,0.647107373,35,M,179,5.6,1.Sedentary
64,0.232700232,0.924439104,0.647107373,35,M,179,5.6,1.Sedentary
65,0.363047269,0.058262479,0.040783735,35,M,179,5.6,1.Sedentary
66,0.374427793,0,0,35,M,179,5.6,1.Sedentary
60,0.268509033,0,0,35,M,179,5.6,1.Sedentary
54,0.195327569,0,0,35,M,179,5.6,1.Sedentary
54,0.040750142,0,0,35,M,179,5.6,1.Sedentary
54,0.253816498,0,0,35,M,179,5.6,1.Sedentary
54,0.181275334,0,0,35,M,179,5.6,1.Sedentary
55,0.164160043,0,0,35,M,179,5.6,1.Sedentary
55,0.171216139,0,0,35,M,179,5.6,1.Sedentary
55,0.203078721,0,0,35,M,179,5.6,1.Sedentary
55,0.188989151,0,0,35,M,179,5.6,1.Sedentary
57,0.184364629,1.185575503,0.580931997,35,M,179,5.6,1.Sedentary
59,0.138535658,1.46856422,0.719596468,35,M,179,5.6,1.Sedentary
62,0.159683955,1.46856422,0.719596468,35,M,179,5.6,1.Sedentary
64,0.210033892,1.46856422,0.719596468,35,M,179,5.6,1.Sedentary
66,0.110353272,1.46856422,0.719596468,35,M,179,5.6,1.Sedentary
68,0.181639482,1.46856422,0.719596468,35,M,179,5.6,1.Sedentary
63,0.298943257,0.471603396,0.231085664,35,M,179,5.6,1.Sedentary
58,0.235027359,0.149975427,0.131978376,35,M,179,5.6,1.Sedentary
58,0.196124661,0.215070034,0.18926163,35,M,179,5.6,1.Sedentary
58,0.159526764,0.215070034,0.18926163,35,M,179,5.6,1.Sedentary
57,0.069568119,0.215070034,0.18926163,35,M,179,5.6,1.Sedentary
57,0.092251255,0.215070034,0.18926163,35,M,179,5.6,1.Sedentary
57,0.253463144,0.215070034,0.18926163,35,M,179,5.6,1.Sedentary
58,0.24612502,0.215070034,0.18926163,35,M,179,5.6,1.Sedentary
58,0.323160524,0.215070034,0.18926163,35,M,179,5.6,1.Sedentary
59,0.156296316,0.215070034,0.18926163,35,M,179,5.6,1.Sedentary
59,0.204409257,0.129464298,0.113928582,35,M,179,5.6,1.Sedentary
60,0.13511836,0,0,35,M,179,5.6,1.Sedentary
58,0.022866314,0,0,35,M,179,5.6,1.Sedentary
56,0.0817583,0,0,35,M,179,5.6,1.Sedentary
54,0.169301105,0,0,35,M,179,5.6,1.Sedentary
52,0.317158696,0.961101892,0.799932498,35,M,179,5.6,1.Sedentary
54,0.131371117,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
56,0.283360608,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
57,0.216252343,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
59,0.322665928,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
61,0.219750142,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
61,0.071610991,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
61,0.231661562,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
61,0.216066924,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
62,0.019295877,1.307899864,1.088575117,35,M,179,5.6,1.Sedentary
62,0.040021353,7.108321752,5.56331616,35,M,179,5.6,1.Sedentary
62,0.167808386,8.601782314,6.715447746,35,M,179,5.6,1.Sedentary
62,0.341649506,8.601782314,6.715447746,35,M,179,5.6,1.Sedentary
